user_id,accuracy,resptime,session,trial,condition_text,threshold_text,duration_text,q1,q2,q3,q4,q5,q6,trial_id
1,1,1.2592589855194092,0.0,1.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,1
1,1,1.1804258823394775,0.0,2.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,2
1,1,1.3489720821380615,0.0,3.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,3
1,1,1.3726768493652344,0.0,4.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,4
1,1,1.3335230350494385,0.0,5.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,5
1,1,2.4178781509399414,0.0,6.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,6
1,1,1.2119202613830566,0.0,7.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,7
1,1,1.0675480365753174,0.0,8.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,8
1,1,1.2098219394683838,0.0,9.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,9
1,1,1.6006510257720947,0.0,10.0,with distraction,none,long,4.0,4.0,1.0,1.0,1.0,1.0,10
1,1,1.1002671718597412,1.0,1.0,with distraction,none,short,4.0,4.0,1.0,1.0,1.0,1.0,11
1,1,1.1106770038604736,1.0,2.0,with distraction,none,short,4.0,4.0,1.0,1.0,1.0,1.0,12
1,1,0.9901549816131592,1.0,4.0,with distraction,none,short,4.0,4.0,1.0,1.0,1.0,1.0,13
1,1,1.1871259212493896,1.0,5.0,with distraction,none,short,4.0,4.0,1.0,1.0,1.0,1.0,14
1,1,0.9481351375579834,1.0,7.0,with distraction,none,short,4.0,4.0,1.0,1.0,1.0,1.0,15
1,1,1.0769741535186768,1.0,9.0,with distraction,none,short,4.0,4.0,1.0,1.0,1.0,1.0,16
1,1,0.9743800163269044,1.0,10.0,with distraction,none,short,4.0,4.0,1.0,1.0,1.0,1.0,17
1,1,1.866293907165528,2.0,1.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,18
1,1,0.9430789947509766,2.0,2.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,19
1,1,1.0689809322357178,2.0,3.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,20
1,1,1.19520902633667,2.0,4.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,21
1,1,1.0686829090118408,2.0,5.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,22
1,1,0.8307218551635742,2.0,6.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,23
1,1,0.9362297058105468,2.0,7.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,24
1,1,1.4997870922088623,2.0,8.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,25
1,1,1.092736005783081,2.0,9.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,26
1,1,0.9389941692352296,2.0,10.0,with distraction,static,short,2.0,3.0,4.0,1.0,4.0,2.0,27
1,1,0.9060781002044678,3.0,1.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,28
1,1,0.9812948703765868,3.0,2.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,29
1,1,0.6684980392456055,3.0,3.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,30
1,1,1.0427970886230469,3.0,4.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,31
1,1,0.9427671432495116,3.0,5.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,32
1,1,0.76816725730896,3.0,6.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,33
1,1,0.6870670318603516,3.0,7.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,34
1,0,0.4514548778533935,3.0,8.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,35
1,1,0.7625091075897217,3.0,9.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,36
1,1,0.6725261211395264,3.0,10.0,no distraction,static,short,2.0,4.0,5.0,1.0,5.0,3.0,37
1,1,0.7733230590820312,4.0,1.0,no distraction,static,long,3.0,3.0,2.0,1.0,3.0,6.0,38
1,1,0.8541498184204102,4.0,2.0,no distraction,static,long,3.0,3.0,2.0,1.0,3.0,6.0,39
1,1,0.8412868976593018,4.0,3.0,no distraction,static,long,3.0,3.0,2.0,1.0,3.0,6.0,40
1,1,0.9705812931060792,4.0,4.0,no distraction,static,long,3.0,3.0,2.0,1.0,3.0,6.0,41
1,1,0.8423240184783936,4.0,5.0,no distraction,static,long,3.0,3.0,2.0,1.0,3.0,6.0,42
1,1,0.8367528915405273,4.0,6.0,no distraction,static,long,3.0,3.0,2.0,1.0,3.0,6.0,43
1,1,0.8620650768280029,4.0,7.0,no distraction,static,long,3.0,3.0,2.0,1.0,3.0,6.0,44
1,1,0.8728799819946289,4.0,8.0,no distraction,static,long,3.0,3.0,2.0,1.0,3.0,6.0,45
1,1,0.8052370548248291,4.0,9.0,no distraction,static,long,3.0,3.0,2.0,1.0,3.0,6.0,46
1,1,2.268744945526123,5.0,1.0,with distraction,filtered,short,7.0,7.0,1.0,7.0,7.0,6.0,47
1,1,0.8030352592468262,5.0,2.0,with distraction,filtered,short,7.0,7.0,1.0,7.0,7.0,6.0,48
1,1,0.9160280227661132,5.0,3.0,with distraction,filtered,short,7.0,7.0,1.0,7.0,7.0,6.0,49
1,1,0.8410677909851074,5.0,5.0,with distraction,filtered,short,7.0,7.0,1.0,7.0,7.0,6.0,50
1,1,1.0775721073150637,5.0,6.0,with distraction,filtered,short,7.0,7.0,1.0,7.0,7.0,6.0,51
1,1,1.5993127822875977,5.0,7.0,with distraction,filtered,short,7.0,7.0,1.0,7.0,7.0,6.0,52
1,1,1.0966639518737793,5.0,8.0,with distraction,filtered,short,7.0,7.0,1.0,7.0,7.0,6.0,53
1,1,1.7400059700012207,5.0,9.0,with distraction,filtered,short,7.0,7.0,1.0,7.0,7.0,6.0,54
1,1,1.3498330116271973,5.0,10.0,with distraction,filtered,short,7.0,7.0,1.0,7.0,7.0,6.0,55
1,1,0.8813729286193848,6.0,1.0,no distraction,filtered,long,6.0,6.0,1.0,6.0,7.0,5.0,56
1,1,0.9291410446166992,6.0,2.0,no distraction,filtered,long,6.0,6.0,1.0,6.0,7.0,5.0,57
1,1,0.8854410648345947,6.0,3.0,no distraction,filtered,long,6.0,6.0,1.0,6.0,7.0,5.0,58
1,1,0.8394069671630859,6.0,4.0,no distraction,filtered,long,6.0,6.0,1.0,6.0,7.0,5.0,59
1,1,0.7737491130828857,6.0,5.0,no distraction,filtered,long,6.0,6.0,1.0,6.0,7.0,5.0,60
1,1,1.358425855636597,6.0,6.0,no distraction,filtered,long,6.0,6.0,1.0,6.0,7.0,5.0,61
1,1,0.8206479549407959,6.0,7.0,no distraction,filtered,long,6.0,6.0,1.0,6.0,7.0,5.0,62
1,1,0.784883975982666,6.0,8.0,no distraction,filtered,long,6.0,6.0,1.0,6.0,7.0,5.0,63
1,1,0.8254599571228027,6.0,9.0,no distraction,filtered,long,6.0,6.0,1.0,6.0,7.0,5.0,64
